;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_SHU_title;Grant Shu Independence;;;;;;;;;;;;x,,
gtfo_SHU_desc;We've had a good run, but it's time to end our rulership of Shu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHY_title;Grant Uzbek Independence;;;;;;;;;;;;x,,
gtfo_SHY_desc;We've had a good run, but it's time to end our rulership of Uzbek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;x,,
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIE_title;Grant Transylvania Independence;;;;;;;;;;;;x,,
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Transylvania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKA_title;Grant Sakalava Independence;;;;;;;;;;;;x,,
gtfo_SKA_desc;We've had a good run, but it's time to end our rulership of Sakalava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLO_title;Grant Cilli Independence;;;;;;;;;;;;x,,
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Cilli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLS_title;Grant Silesia Independence;;;;;;;;;;;;x,,
gtfo_SLS_desc;We've had a good run, but it's time to end our rulership of Silesia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMI_title;Grant Sápmi Independence;;;;;;;;;;;;x,,
gtfo_SMI_desc;We've had a good run, but it's time to end our rulership of Sápmi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNZ_title;Grant Waitaha Independence;;;;;;;;;;;;x,,
gtfo_SNZ_desc;We've had a good run, but it's time to end our rulership of Waitaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOL_title;Grant Solon Independence;;;;;;;;;;;;x,,
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPA_title;Grant Spain Independence;;;;;;;;;;;;x,,
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Spain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRI_title;Grant Kotte Independence;;;;;;;;;;;;x,,
gtfo_SRI_desc;We've had a good run, but it's time to end our rulership of Kotte: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;x,,
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAB_title;Grant Mazandaran Independence;;;;;;;;;;;;x,,
gtfo_TAB_desc;We've had a good run, but it's time to end our rulership of Mazandaran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBZ_title;Grant Trebizond Independence;;;;;;;;;;;;x,,
gtfo_TBZ_desc;We've had a good run, but it's time to end our rulership of Trebizond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TDO_title;Grant Tondo Independence;;;;;;;;;;;;x,,
gtfo_TDO_desc;We've had a good run, but it's time to end our rulership of Tondo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEO_title;Grant Teotitlan Independence;;;;;;;;;;;;x,,
gtfo_TEO_desc;We've had a good run, but it's time to end our rulership of Teotitlan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TER_title;Grant Trier Independence;;;;;;;;;;;;x,,
gtfo_TER_desc;We've had a good run, but it's time to end our rulership of Trier: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIO_title;Grant Tionontate Independence;;;;;;;;;;;;x,,
gtfo_TIO_desc;We've had a good run, but it's time to end our rulership of Tionontate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLA_title;Grant Tlapanec Independence;;;;;;;;;;;;x,,
gtfo_TLA_desc;We've had a good run, but it's time to end our rulership of Tlapanec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOT_title;Grant Totonac Independence;;;;;;;;;;;;x,,
gtfo_TOT_desc;We've had a good run, but it's time to end our rulership of Totonac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TPQ_title;Grant Tupiniquim Independence;;;;;;;;;;;;x,,
gtfo_TPQ_desc;We've had a good run, but it's time to end our rulership of Tupiniquim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRA_title;Grant Venad Independence;;;;;;;;;;;;x,,
gtfo_TRA_desc;We've had a good run, but it's time to end our rulership of Venad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRO_title;Grant Tairona Independence;;;;;;;;;;;;x,,
gtfo_TRO_desc;We've had a good run, but it's time to end our rulership of Tairona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRS_title;Grant Purépecha Independence;;;;;;;;;;;;x,,
gtfo_TRS_desc;We've had a good run, but it's time to end our rulership of Purépecha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRT_title;Grant Tirhut Independence;;;;;;;;;;;;x,,
gtfo_TRT_desc;We've had a good run, but it's time to end our rulership of Tirhut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTE_title;Grant Ternate Independence;;;;;;;;;;;;x,,
gtfo_TTE_desc;We've had a good run, but it's time to end our rulership of Ternate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUA_title;Grant Tapuia Independence;;;;;;;;;;;;x,,
gtfo_TUA_desc;We've had a good run, but it's time to end our rulership of Tapuia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Tunis Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUR_title;Grant Ottomans Independence;;;;;;;;;;;;x,,
gtfo_TUR_desc;We've had a good run, but it's time to end our rulership of Ottomans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUS_title;Grant Tuscany Independence;;;;;;;;;;;;x,,
gtfo_TUS_desc;We've had a good run, but it's time to end our rulership of Tuscany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBH_title;Grant Buha Independence;;;;;;;;;;;;x,,
gtfo_UBH_desc;We've had a good run, but it's time to end our rulership of Buha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UIL_title;Grant Illinois Independence;;;;;;;;;;;;x,,
gtfo_UIL_desc;We've had a good run, but it's time to end our rulership of Illinois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URB_title;Grant Urbino Independence;;;;;;;;;;;;x,,
gtfo_URB_desc;We've had a good run, but it's time to end our rulership of Urbino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URU_title;Grant Rio da Prata Independence;;;;;;;;;;;;x,,
gtfo_URU_desc;We've had a good run, but it's time to end our rulership of Rio da Prata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_USA_title;Grant United States Independence;;;;;;;;;;;;x,,
gtfo_USA_desc;We've had a good run, but it's time to end our rulership of United States: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTR_title;Grant Utrecht Independence;;;;;;;;;;;;x,,
gtfo_UTR_desc;We've had a good run, but it's time to end our rulership of Utrecht: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTS_title;Grant Tsang Independence;;;;;;;;;;;;x,,
gtfo_UTS_desc;We've had a good run, but it's time to end our rulership of Tsang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;x,,
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VIJ_title;Grant Vijayanagar Independence;;;;;;;;;;;;x,,
gtfo_VIJ_desc;We've had a good run, but it's time to end our rulership of Vijayanagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAD_title;Grant Wadai Independence;;;;;;;;;;;;x,,
gtfo_WAD_desc;We've had a good run, but it's time to end our rulership of Wadai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WCR_title;Grant Cree Independence;;;;;;;;;;;;x,,
gtfo_WCR_desc;We've had a good run, but it's time to end our rulership of Cree: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WES_title;Grant Westphalia Independence;;;;;;;;;;;;x,,
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westphalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WHA_title;Grant Wales Independence;;;;;;;;;;;;x,,
gtfo_WHA_desc;We've had a good run, but it's time to end our rulership of Wales: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WIC_title;Grant Wichita Independence;;;;;;;;;;;;x,,
gtfo_WIC_desc;We've had a good run, but it's time to end our rulership of Wichita: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WNR_title;Grant Wenro Independence;;;;;;;;;;;;x,,
gtfo_WNR_desc;We've had a good run, but it's time to end our rulership of Wenro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WOL_title;Grant Jolof Independence;;;;;;;;;;;;x,,
gtfo_WOL_desc;We've had a good run, but it's time to end our rulership of Jolof: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WUR_title;Grant Wurttemberg Independence;;;;;;;;;;;;x,,
gtfo_WUR_desc;We've had a good run, but it's time to end our rulership of Wurttemberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Beja Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Beja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Karelia Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Karelia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant León Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of León: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant Luristan Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of Luristan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Stettin Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Stettin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Saluzzo Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Saluzzo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant City of Chokwe Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of City of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Tierra Austral Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Tierra Austral: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Sangokai Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Sangokai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Japanese Colombia Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Japanese Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAN_title;Grant Yan Independence;;;;;;;;;;;;x,,
gtfo_YAN_desc;We've had a good run, but it's time to end our rulership of Yan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKA_title;Grant Yaka Independence;;;;;;;;;;;;x,,
gtfo_YKA_desc;We've had a good run, but it's time to end our rulership of Yaka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKT_title;Grant Yokuts Independence;;;;;;;;;;;;x,,
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yokuts: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YOK_title;Grant Yokotan Independence;;;;;;;;;;;;x,,
gtfo_YOK_desc;We've had a good run, but it's time to end our rulership of Yokotan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YRK_title;Grant Yarkand Independence;;;;;;;;;;;;x,,
gtfo_YRK_desc;We've had a good run, but it's time to end our rulership of Yarkand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAP_title;Grant Zapotec Independence;;;;;;;;;;;;x,,
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Zapotec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZNI_title;Grant Zuni Independence;;;;;;;;;;;;x,,
gtfo_ZNI_desc;We've had a good run, but it's time to end our rulership of Zuni: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUL_title;Grant Zulu Independence;;;;;;;;;;;;x,,
gtfo_ZUL_desc;We've had a good run, but it's time to end our rulership of Zulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUN_title;Grant Dzungar Independence;;;;;;;;;;;;x,,
gtfo_ZUN_desc;We've had a good run, but it's time to end our rulership of Dzungar: if you love something, let it go!;;;;;;;;;;;;x
